maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3
-0.0025114487624061845,200.0,70.0,2.75,389.0,313.0,336.0,396.0,0.02310461862434452,0.1126602225053407,0.07172354377177889,-0.0025114487624061845
-0.0032481121396317025,170.0,50.0,2.75,579.0,509.0,529.0,625.0,-0.002677943802040233,0.22611884794673928,0.03145037847451784,-0.0032481121396317025
-0.0035448193408959892,120.0,80.0,2.5,166.0,92.0,108.0,169.0,-0.0018837267272426915,0.007996568841720342,0.04550695640994231,-0.0035448193408959892
-0.004729101177418392,220.0,60.0,2.75,526.0,432.0,473.0,536.0,0.052827167322593724,0.23820925772522986,0.006001275403503645,-0.004729101177418392
-0.005269435531456014,270.0,50.0,2.75,716.0,632.0,670.0,749.0,0.05175485853949164,0.21565898356008198,-0.005269435531456014,0.02233179837248131
-0.005758169779386857,260.0,50.0,2.75,708.0,621.0,661.0,739.0,0.04368873432399638,0.21082623357299451,-0.005758169779386857,0.021570914371476704
-0.006062095049424749,250.0,50.0,2.75,698.0,607.0,646.0,735.0,0.043401804581567706,0.19839422927309786,-0.006062095049424749,0.016752699230260536
-0.006462303582494708,150.0,70.0,2.75,288.0,223.0,238.0,308.0,-0.006462303582494708,0.017015534020751167,0.09585602284551478,-0.005683849896442157
-0.006693357967473266,100.0,75.0,2.75,108.0,53.0,55.0,102.0,0.1493391700680691,0.17929659394472916,0.29268037209655634,-0.006693357967473266
-0.006836845371942326,230.0,70.0,2.75,438.0,339.0,380.0,446.0,0.061659849166886986,0.1059036260965532,-0.006836845371942326,0.0036077469800134127
-0.0069343347756752865,240.0,65.0,2.75,496.0,405.0,439.0,518.0,0.07119522346114152,0.16321785561574656,-0.0015103381815125157,-0.0069343347756752865
-0.007033062297158651,130.0,75.0,2.75,202.0,131.0,129.0,203.0,0.015048045145430034,0.10679045755826651,-0.006914853050149569,-0.007033062297158651
-0.007038791879272159,290.0,50.0,2.75,733.0,649.0,685.0,766.0,0.05724986631995581,0.2208079519628042,-0.007038791879272159,0.0330420233727295
-0.007179786167892848,130.0,80.0,2.75,169.0,99.0,102.0,161.0,0.06543779833747147,-0.006263591026448957,0.1206161371867034,-0.007179786167892848
-0.007262185664929982,150.0,85.0,2.75,181.0,118.0,112.0,181.0,-0.007262185664929982,0.0071779891784017865,0.17209163250226517,0.0311068328499385
-0.007561776228289537,170.0,90.0,2.0,410.0,324.0,340.0,409.0,-0.007561776228289537,0.10720894379098042,0.04447740300063231,0.03090693158408788
-0.008125218286607583,150.0,75.0,2.75,258.0,182.0,185.0,267.0,-0.00658458862651526,0.11384588181928815,-0.008125218286607583,0.014520321601611853
-0.0081352715696235,120.0,90.0,2.5,111.0,56.0,56.0,108.0,0.11255248492559791,0.035693671074918554,0.32514556410952333,-0.0081352715696235
-0.008255429639908534,130.0,75.0,2.5,253.0,174.0,187.0,265.0,5.91655282743177e-05,0.07952238243942743,0.10933179918781895,-0.008255429639908534
-0.008965579061246336,110.0,75.0,2.75,137.0,76.0,80.0,128.0,0.007221339279428567,0.12492949312004362,0.25204956616070345,-0.008965579061246336
-0.009427257494892868,200.0,90.0,2.25,382.0,296.0,313.0,379.0,0.08008336595525599,0.16516989729737994,-0.009427257494892868,-0.004328623021774292
-0.009504808067418146,150.0,80.0,2.75,219.0,139.0,147.0,221.0,-0.009504808067418146,0.01768840567051173,0.09710913802248228,0.04375509472292059
-0.00954566632087391,150.0,50.0,2.75,546.0,464.0,492.0,583.0,0.008485842755995824,0.20462852951976243,0.029770053275933298,-0.00954566632087391
-0.009575709565364444,180.0,95.0,2.25,284.0,209.0,223.0,292.0,0.11976952681853631,0.12464637502247837,-0.00736846312179159,-0.009575709565364444
-0.010339993201933764,180.0,50.0,2.75,591.0,520.0,559.0,648.0,-0.010339993201933764,0.21710445276415172,0.03684692340017875,-0.002242710154906904
-0.01045261840440073,210.0,65.0,2.75,454.0,364.0,407.0,479.0,0.07690093178938286,0.1896455626729742,0.05048447843759967,-0.01045261840440073
-0.010710651697357855,280.0,50.0,2.75,728.0,645.0,676.0,762.0,0.058018952564940836,0.21189161040929835,-0.010710651697357855,0.029179955822005697
-0.01072717670566374,180.0,90.0,2.0,437.0,367.0,371.0,435.0,-0.01072717670566374,0.10745348003581372,0.046581418060359425,0.013386351909400388
-0.010788057276122334,120.0,50.0,2.75,470.0,373.0,398.0,481.0,0.01311372971227257,0.17166121397165526,0.013319721306843474,-0.010788057276122334
-0.011387270518175948,200.0,85.0,2.75,283.0,192.0,212.0,273.0,0.07507289965749997,0.12787329463319339,-0.011387270518175948,0.04449948673679136
-0.012195980938989397,150.0,75.0,2.5,310.0,241.0,258.0,344.0,-0.011153512266129368,0.052798523993669695,-0.005919072148510722,-0.012195980938989397
-0.012971104929180627,130.0,50.0,2.75,501.0,409.0,443.0,529.0,0.017982857587916755,0.18255337718136838,0.02528189308912349,-0.012971104929180627
-0.013646696245356001,170.0,90.0,2.25,308.0,216.0,246.0,312.0,0.030810319691739103,0.06905517302958315,0.027367453656891055,-0.013646696245356001
-0.01383190286120599,200.0,60.0,2.75,503.0,405.0,444.0,509.0,0.04726894697993059,0.22542586545924742,0.045860932695848323,-0.01383190286120599
-0.014252443922511864,230.0,65.0,2.75,488.0,393.0,426.0,510.0,0.08635824618652824,0.16695073295636917,0.014535537758005092,-0.014252443922511864
-0.014276379022002423,290.0,50.0,2.0,1273.0,1160.0,1200.0,1268.0,0.03550356445781905,0.13969153111383634,-0.014276379022002423,-0.012501411488939518
-0.014487812434042183,200.0,90.0,2.0,496.0,412.0,421.0,474.0,0.027403513000209594,0.16845587103257492,-0.014487812434042183,0.014760512621663998
-0.014676457580134066,220.0,65.0,2.75,466.0,382.0,419.0,494.0,0.07810847340182447,0.19023617201158716,0.019899534944007483,-0.014676457580134066
-0.014902673322367548,250.0,65.0,2.75,509.0,416.0,453.0,527.0,0.07853559829622103,0.16780018254995951,-0.014902673322367548,0.0007618707128824618
-0.014956590111458572,160.0,60.0,2.75,436.0,343.0,378.0,434.0,0.01891861210113062,0.21469551746376958,0.015737325239540263,-0.014956590111458572
-0.014990828365501923,210.0,50.0,2.5,782.0,716.0,736.0,817.0,0.06454623829846878,0.21759794080854444,-0.014990828365501923,-0.009344275743812155
-0.015211736742940263,200.0,50.0,2.5,761.0,706.0,728.0,798.0,0.052229209406522856,0.20825314150115845,-0.01137167456673339,-0.015211736742940263
-0.015397586047512684,120.0,90.0,2.0,201.0,120.0,123.0,188.0,-0.015397586047512684,0.008976954903170097,0.14336565346025684,0.016171188938227783
-0.015599086373897945,140.0,50.0,2.75,527.0,439.0,463.0,568.0,0.01071426649708718,0.18100908772020952,0.02491677385008692,-0.015599086373897945
-0.015756568325206076,230.0,60.0,2.75,545.0,441.0,480.0,548.0,0.06424178693317693,0.21143298818370074,-0.015756568325206076,-0.004980743920723936
-0.01670915687537402,110.0,70.0,2.75,165.0,103.0,109.0,163.0,0.04303109965510941,0.04955336850314898,0.22938565025814478,-0.01670915687537402
-0.017366113671182664,280.0,50.0,2.0,1265.0,1162.0,1187.0,1266.0,0.034741469470328856,0.147083790380534,-0.014899660459626696,-0.017366113671182664
-0.017422578648640226,200.0,85.0,2.5,345.0,258.0,277.0,345.0,0.039600338256018074,0.10694338737697102,-0.017422578648640226,0.01758472117925915
-0.017482431749296614,190.0,60.0,2.75,485.0,385.0,428.0,495.0,0.034387638667542644,0.22297167742600646,0.035175295805892355,-0.017482431749296614
-0.017622631523153128,180.0,90.0,2.25,330.0,244.0,275.0,344.0,0.04431384299185886,0.10316090465298348,3.436473295492579e-05,-0.017622631523153128
-0.017711286281590903,190.0,50.0,2.5,745.0,688.0,711.0,783.0,0.0533722578309995,0.21500626939498518,-0.016985765858314746,-0.017711286281590903
-0.018568130719315852,160.0,50.0,2.5,704.0,649.0,642.0,728.0,0.039160951386269516,0.21444568353445154,-0.002123303102832713,-0.018568130719315852
-0.01871195413268186,100.0,70.0,2.75,129.0,74.0,84.0,133.0,0.09092969481657795,-0.015093476095164472,0.2387405515867863,-0.01871195413268186
-0.019054401962386558,110.0,50.0,2.75,424.0,347.0,358.0,432.0,0.03113639217414075,0.20162467059415892,0.057057166100674094,-0.019054401962386558
-0.019614900843321847,180.0,65.0,2.75,402.0,318.0,357.0,430.0,0.06639348545355987,0.1741193920441953,0.08724205183128342,-0.019614900843321847
-0.019718319259763882,260.0,65.0,2.75,519.0,426.0,469.0,536.0,0.07257877412222699,0.18953518751031143,-0.019718319259763882,0.012411964410856907
-0.019964204112096498,180.0,80.0,2.75,279.0,191.0,215.0,282.0,0.0333784867016534,0.12745410285524308,-0.019964204112096498,0.05357163623845525
-0.020008048977842342,220.0,55.0,2.0,1044.0,972.0,995.0,1059.0,0.001400800064661715,0.16039565836991576,-0.010895921825959765,-0.020008048977842342
