maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_test_min,pl_test_len,pl_test_mean_perc
0.12964633008784313,30000.0,90.0,2.25,185.0,194.0,175.0,198.0,-0.04595670503690733,0.4239354968539228,-0.0338585933010463,0.17446512183540333,0.17557275186814167,124.0,0.17557275186814167
0.1278300371734548,29000.0,95.0,2.5,157.0,160.0,138.0,167.0,0.1490115295732007,0.4167026042967783,-0.12860805975264963,0.07421407457648987,0.06669447821747007,111.0,0.06669447821747007
0.1273937694198418,25000.0,90.0,2.75,145.0,149.0,123.0,148.0,0.12088567562938263,0.5814571641285232,-0.21867387751841375,0.025906115439874963,-0.013304268036999623,120.0,-0.013304268036999623
0.12733431364560185,29000.0,85.0,2.5,171.0,180.0,159.0,188.0,0.044002439068856175,0.4487495013637699,-0.051930962321048324,0.06851627647082971,0.025319275186806406,125.0,0.025319275186806406
0.12682493379199158,24000.0,90.0,2.75,148.0,146.0,123.0,149.0,0.13699198745007385,0.5749153340481851,-0.21867387751841375,0.014066291188121033,-0.009890287576649984,128.0,-0.009890287576649984
0.12576028646925763,24000.0,85.0,2.25,191.0,200.0,180.0,212.0,0.053475360095943086,0.3992484149427873,-0.0854018403985563,0.13571921123685646,0.08295208616961015,182.0,0.08295208616961015
0.12560951233398118,24000.0,85.0,2.75,152.0,157.0,134.0,167.0,0.1275684986770311,0.5726855193758101,-0.19152152504295356,-0.0062944436739630055,-0.03631387793078948,147.0,-0.03631387793078948
0.12556474676214138,32000.0,95.0,2.0,198.0,209.0,194.0,212.0,-0.04859697498345035,0.31604906422227047,0.12134217683719702,0.11346472097254837,0.12283313938358745,125.0,0.12283313938358745
0.12509481782655252,36000.0,95.0,2.0,197.0,207.0,194.0,210.0,-0.0558316900598691,0.3038778777407132,0.12134217683719702,0.13099090678816905,0.11824380284304865,91.0,0.11824380284304865
0.12506099619940939,33000.0,95.0,2.0,197.0,210.0,194.0,210.0,-0.04834167764149301,0.30290490206684484,0.12134217683719702,0.12433858353508868,0.12852997545656156,116.0,0.12852997545656156
0.1244985899207456,35000.0,95.0,2.0,197.0,206.0,194.0,210.0,-0.0545925486722401,0.30025382472985646,0.12134217683719702,0.13099090678816905,0.10840530725411644,97.0,0.10840530725411644
0.12401305330022694,28000.0,85.0,2.5,173.0,180.0,159.0,189.0,0.05707324711836008,0.4487495013637699,-0.051930962321048324,0.04216042703982615,-0.03342659827783867,130.0,-0.03342659827783867
0.12391756293654431,34000.0,95.0,2.0,197.0,211.0,194.0,210.0,-0.054667282587522695,0.3027497987624208,0.12134217683719702,0.1262455587340821,0.13584966111207983,105.0,0.13584966111207983
0.12391186041559507,33000.0,95.0,2.25,179.0,186.0,161.0,192.0,-0.08401591896323221,0.3688330808467581,0.018460995655968013,0.1923692841228863,0.1833947831962141,103.0,0.1833947831962141
0.1238770360823332,26000.0,90.0,2.75,148.0,149.0,123.0,150.0,0.10303156044697065,0.583900164909148,-0.21867387751841375,0.02725029649162785,0.02120845831320101,116.0,0.02120845831320101
0.1236911810544521,26000.0,80.0,2.75,160.0,169.0,139.0,176.0,0.05325431757035822,0.5377062464074627,-0.13756181775331844,0.04136597799330594,0.044340884857807204,140.0,0.044340884857807204
0.12365319087284085,31000.0,90.0,2.25,187.0,195.0,175.0,200.0,-0.05212543569626203,0.4118785180343485,-0.0338585933010463,0.16871827445432327,0.15230634332842133,122.0,0.15230634332842133
0.12341261423680198,31000.0,90.0,2.5,168.0,170.0,145.0,182.0,0.03798874862886647,0.43290899290623136,-0.05414434205978456,0.0768970574718947,0.08310942755135325,110.0,0.08310942755135325
0.12319628644160315,28000.0,95.0,2.5,160.0,160.0,138.0,170.0,0.1605884527369914,0.4167026042967783,-0.12860805975264963,0.04410214848529256,0.017287810540065812,118.0,0.017287810540065812
0.12278229339963298,27000.0,85.0,2.5,173.0,180.0,159.0,190.0,0.06255400794841869,0.4487495013637699,-0.051930962321048324,0.031756626607391654,-0.0329754743107368,141.0,-0.0329754743107368
0.12256254655827661,34000.0,95.0,2.25,179.0,185.0,161.0,192.0,-0.09542167411325898,0.3697469686691277,0.018460995655968013,0.1974638960212697,0.2055135533971934,94.0,0.2055135533971934
0.12247169856169521,27000.0,95.0,2.5,159.0,160.0,138.0,170.0,0.16065429843092194,0.4167026042967783,-0.12860805975264963,0.041137951271730235,0.021528331495962914,126.0,0.021528331495962914
0.12216258223268306,35000.0,95.0,2.25,179.0,183.0,161.0,192.0,-0.09617800509481796,0.36673952531251613,0.018460995655968013,0.199627813057066,0.17761588774680537,87.0,0.17761588774680537
0.12183865145987778,25000.0,85.0,2.75,150.0,160.0,134.0,168.0,0.11033262881895907,0.5716464989007076,-0.19152152504295356,-0.0031029968372020536,-0.05327473371963327,142.0,-0.05327473371963327
0.12151938411966406,25000.0,85.0,2.25,191.0,202.0,180.0,214.0,0.03901553318221475,0.3974911600112451,-0.0854018403985563,0.13497268368375273,0.05672402755489889,177.0,0.05672402755489889
0.12123631108175434,26000.0,85.0,2.75,152.0,160.0,134.0,169.0,0.10175234094629455,0.5739176680534445,-0.19152152504295356,0.0007967603702318586,-0.01507735058565662,134.0,-0.01507735058565662
0.12094454282253866,29000.0,80.0,2.75,159.0,169.0,139.0,172.0,0.02404932362620758,0.534326572747435,-0.13756181775331844,0.06296409266983048,0.04297373910170807,116.0,0.04297373910170807
0.12071431441213426,37000.0,95.0,2.0,197.0,207.0,194.0,210.0,-0.0621720575124182,0.29269623153558916,0.12134217683719702,0.13099090678816905,0.09662834644931581,84.0,0.09662834644931581
0.12065841391032474,28000.0,90.0,2.75,148.0,149.0,123.0,149.0,0.08906337215161488,0.583900164909148,-0.21867387751841375,0.028343996098949855,-0.034942264931818595,103.0,-0.034942264931818595
