size,stop_loss,take_profit,price,order_type,side,offset,candle_index,user_id
1.0,2.0,0.0,6819.2986026780645,0.0,2.0,1.0,22156.0,0.0
1.0,2.0,0.0,6823.479537003133,0.0,2.0,1.0,22157.0,0.0
1.0,2.0,0.0,6839.629260110383,0.0,2.0,1.0,22160.0,0.0
1.0,2.0,0.0,6843.455534493141,0.0,2.0,1.0,22163.0,0.0
1.0,2.0,0.0,6846.068285406738,0.0,2.0,1.0,22164.0,0.0
1.0,2.0,0.0,6859.738314373018,0.0,2.0,1.0,22167.0,0.0
6.0,2.0,0.0,6783.6041250000035,0.0,1.0,2.0,22187.0,0.0
1.0,2.0,0.0,6832.558507582491,0.0,1.0,1.0,22315.0,0.0
1.0,2.0,0.0,6820.8580171678905,0.0,1.0,1.0,22319.0,0.0
2.0,2.0,0.0,6911.628625,0.0,2.0,2.0,22330.0,0.0
1.0,2.0,0.0,8108.51088552806,0.0,2.0,1.0,22796.0,0.0
1.0,2.0,0.0,8055.0181250000005,0.0,1.0,2.0,22821.0,0.0
1.0,2.0,0.0,8789.097013289966,0.0,1.0,1.0,23340.0,0.0
1.0,2.0,0.0,8772.86886849888,0.0,1.0,1.0,23343.0,0.0
1.0,2.0,0.0,8771.104863032187,0.0,1.0,1.0,23344.0,0.0
3.0,2.0,0.0,8885.551500000001,0.0,2.0,2.0,23370.0,0.0
1.0,2.0,0.0,9126.679988899346,0.0,1.0,1.0,23577.0,0.0
1.0,2.0,0.0,8905.008749999997,0.0,2.0,2.0,23677.0,0.0
1.0,2.0,0.0,8976.536296727209,0.0,2.0,1.0,23712.0,0.0
1.0,2.0,0.0,9108.041226603385,0.0,2.0,1.0,23720.0,0.0
2.0,2.0,0.0,9185.340874999998,0.0,1.0,2.0,23781.0,0.0
1.0,2.0,0.0,9127.115297751656,0.0,1.0,1.0,23807.0,0.0
1.0,2.0,0.0,9111.782121113101,0.0,1.0,1.0,23809.0,0.0
2.0,2.0,0.0,9185.49825,0.0,2.0,2.0,23839.0,0.0
1.0,2.0,0.0,9225.407322319652,0.0,1.0,1.0,23956.0,0.0
1.0,2.0,0.0,9379.10925,0.0,2.0,2.0,23978.0,0.0
1.0,2.0,0.0,9194.165388290066,0.0,1.0,1.0,24044.0,0.0
1.0,2.0,0.0,9318.952874999999,0.0,2.0,2.0,24067.0,0.0
1.0,2.0,0.0,9087.367129805018,0.0,2.0,1.0,24197.0,0.0
1.0,2.0,0.0,9092.31445613749,0.0,2.0,1.0,24198.0,0.0
1.0,2.0,0.0,9097.129979779924,0.0,2.0,1.0,24199.0,0.0
3.0,2.0,0.0,8994.741375000001,0.0,1.0,2.0,24213.0,0.0
1.0,2.0,0.0,9167.972931453021,0.0,2.0,1.0,24235.0,0.0
1.0,2.0,0.0,9072.275625000004,0.0,1.0,2.0,24259.0,0.0
1.0,2.0,0.0,9768.142360432652,0.0,1.0,1.0,24613.0,0.0
1.0,2.0,0.0,9764.00907289431,0.0,1.0,1.0,24614.0,0.0
2.0,2.0,0.0,9644.148625,0.0,2.0,2.0,24681.0,0.0
1.0,2.0,0.0,9318.232314475392,0.0,2.0,1.0,24928.0,0.0
1.0,2.0,0.0,9306.467249999998,0.0,1.0,2.0,25002.0,0.0
1.0,2.0,0.0,9266.711128386227,0.0,1.0,1.0,25044.0,0.0
1.0,2.0,0.0,8445.778750000001,0.0,2.0,2.0,25207.0,0.0
1.0,2.0,0.0,8570.529812494216,0.0,2.0,1.0,25301.0,0.0
1.0,2.0,0.0,8565.125499999995,0.0,1.0,2.0,25360.0,0.0
1.0,2.0,0.0,8610.229284520683,0.0,1.0,1.0,25514.0,0.0
1.0,2.0,0.0,8368.086625,0.0,2.0,2.0,25593.0,0.0
1.0,2.0,0.0,8443.985870424463,0.0,2.0,1.0,25660.0,0.0
