maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_perc_0,pl_perc_1,pl_test_min,pl_test_len,pl_test_mean_perc
0.0035849866170341305,35000.0,60.0,2.75,220.0,209.0,0.20547602350327338,-0.19830605026920511,-0.35710810601398574,274.0,-0.35710810601398574
0.002931695095986883,31000.0,85.0,2.5,186.0,161.0,0.08981879687647797,-0.0839554066845042,-0.3369003057197913,244.0,-0.3369003057197913
0.002750150358051505,35000.0,80.0,2.5,194.0,183.0,0.055004911656157805,-0.049504610940054795,-0.31850932198535364,242.0,-0.31850932198535364
0.002544896823760436,38000.0,70.0,2.5,221.0,214.0,0.06293768033185985,-0.05784788668433898,-0.19990373249609605,259.0,-0.19990373249609605
0.0017716162712246158,33000.0,70.0,2.25,259.0,245.0,0.09340123773551944,-0.0898580051930702,-0.24576589917999128,345.0,-0.24576589917999128
0.001766777245494025,35000.0,65.0,2.5,239.0,232.0,0.17187553163561445,-0.1683419771446264,-0.23558824749282176,295.0,-0.23558824749282176
0.0017401371652073852,34000.0,85.0,2.25,204.0,201.0,0.0763342872213757,-0.07285401289096093,-0.22923209249621793,270.0,-0.22923209249621793
0.0015993284463491422,37000.0,95.0,2.25,189.0,177.0,0.12014372231229854,-0.11694506541960026,-0.3102766314586062,226.0,-0.3102766314586062
0.0011744258895909215,25000.0,90.0,2.5,182.0,164.0,0.09650988268343116,-0.09416103090424932,-0.19923791103486269,274.0,-0.19923791103486269
0.0011214311908962294,45000.0,80.0,2.5,185.0,185.0,0.006842677480418175,-0.004599815098625716,-0.4165967690494449,169.0,-0.4165967690494449
0.0008591796595369267,27000.0,90.0,2.5,182.0,164.0,0.09587939022332317,-0.09416103090424932,-0.3243422129341915,262.0,-0.3243422129341915
0.0006809033173200488,35000.0,65.0,2.0,323.0,304.0,0.0990674915516062,-0.0977056849169661,-0.16252799819760905,406.0,-0.16252799819760905
0.0005245748672124233,38000.0,80.0,2.5,194.0,183.0,0.010522622927309839,-0.009473473192884992,-0.4064071151904794,222.0,-0.4064071151904794
0.0003033478131928462,41000.0,85.0,2.75,153.0,138.0,-0.008604904558349275,0.009211600184734967,-0.2828170677820392,155.0,-0.2828170677820392
